case_id,decline_code_bucket,decline_code,retry_attempt_number,hours_since_last_attempt,customer_tenure_days,ltv_tier,historical_ptp_honor_rate,time_of_day_bucket,day_of_week,issuer_bank_risk_tier,payment_rail,amount,amount_vs_historical_avg,is_peak_execution_window,prior_retry_success_count,guardrail_flags,outcome
case_0000,AMBIGUOUS,05_do_not_honor,2,6.78,1758,medium,0.3495333555864037,afternoon,sat,low_risk,emandate,654.86,1.0331810424566996,False,0,,1
case_0001,AMBIGUOUS,issuer_unavailable,1,56.04,358,low,0.686988518056919,evening,sat,low_risk,emandate,662.42,0.8511437719391624,False,0,,0
case_0002,AMBIGUOUS,generic_decline,3,57.94,700,medium,0.5417144432973053,early_morning,thu,medium_risk,card,826.98,0.8456897608251306,True,2,,1
case_0004,CLEAR_HARD,stolen_card,2,1.64,144,medium,0.33661488935461714,evening,tue,low_risk,upi_autopay,1045.41,0.5564308009080791,True,0,peak_window_risk;hard_decline,0
case_0005,AMBIGUOUS,05_do_not_honor,4,69.78,1412,medium,0.49325469862593313,evening,wed,medium_risk,upi_autopay,767.79,0.6854737474202335,False,2,npci_retry_cap_reached,0
case_0008,CLEAR_HARD,stolen_card,3,65.95,399,medium,0.6925590838804724,evening,wed,medium_risk,upi_autopay,1070.14,0.8782503170796381,True,0,peak_window_risk;hard_decline,0
case_0009,AMBIGUOUS,issuer_unavailable,4,64.33,953,medium,0.34632289971483365,afternoon,mon,low_risk,upi_autopay,2952.94,1.3702304979081954,False,3,npci_retry_cap_reached,0
case_0010,CLEAR_HARD,lost_card,4,55.97,1749,low,0.504210554618854,morning,thu,medium_risk,card,527.8,0.7901003072406342,False,0,hard_decline,0
case_0011,CLEAR_SOFT,insufficient_funds,1,21.67,887,high,0.5176480180960532,evening,sat,low_risk,emandate,1257.57,1.6476865188215462,False,0,anomalous_amount,1
case_0012,AMBIGUOUS,05_do_not_honor,2,7.86,1483,low,0.5999136304320474,early_morning,mon,high_risk,upi_autopay,454.76,1.404063235582524,False,1,,0
case_0013,AMBIGUOUS,05_do_not_honor,1,10.52,1469,low,0.6741673850093838,afternoon,mon,low_risk,card,1260.55,0.9014049379870734,False,0,,1
case_0014,CLEAR_SOFT,expired_card_soft,1,61.28,76,low,0.8482644998311911,night,mon,medium_risk,upi_autopay,1283.89,1.0184022493974447,False,0,,1
case_0016,CLEAR_SOFT,insufficient_funds,1,68.32,1675,low,0.4940848471085736,morning,sat,low_risk,upi_autopay,1985.75,0.7798907200356127,False,0,,1
case_0017,CLEAR_SOFT,51_insufficient_funds,2,6.08,1683,high,0.2712183792071997,evening,mon,medium_risk,card,733.12,1.1264076855466083,False,0,,1
case_0018,CLEAR_SOFT,51_insufficient_funds,2,35.44,1070,low,0.12478743370126763,morning,fri,low_risk,upi_autopay,1261.08,1.0650853583577995,False,1,,0
case_0019,CLEAR_SOFT,insufficient_funds,1,27.6,1302,high,0.5530520465152986,morning,sat,low_risk,emandate,4431.94,0.8546883138461445,False,0,,1
case_0020,CLEAR_HARD,invalid_account,1,21.27,813,low,0.593135198066783,night,mon,high_risk,card,736.99,1.0684197693217028,False,0,hard_decline,0
case_0021,CLEAR_SOFT,51_insufficient_funds,1,14.27,1646,low,0.8588973822350682,early_morning,wed,low_risk,card,1719.28,0.9472150094929263,False,0,,0
case_0022,AMBIGUOUS,05_do_not_honor,1,36.33,1342,high,0.5860067035812044,night,thu,medium_risk,card,1388.11,0.7948151878085026,False,0,,0
case_0023,CLEAR_HARD,stolen_card,1,70.56,831,medium,0.3166416029691724,night,thu,medium_risk,card,2140.42,1.0777860883899761,False,0,hard_decline,0
case_0024,CLEAR_SOFT,insufficient_funds,1,21.94,775,medium,0.8380813876751639,evening,sun,low_risk,card,3506.38,1.1952139855625241,False,0,,1
case_0026,CLEAR_SOFT,insufficient_funds,1,20.2,596,low,0.5879492445049268,evening,tue,medium_risk,upi_autopay,445.19,0.320628880278205,False,0,anomalous_amount,1
case_0027,AMBIGUOUS,generic_decline,1,27.92,1152,low,0.7316393480391226,night,thu,medium_risk,upi_autopay,2444.19,1.0280953925304146,False,0,,0
case_0028,CLEAR_SOFT,insufficient_funds,3,10.85,318,low,0.20099872075727587,early_morning,mon,low_risk,card,667.98,1.0455251669714798,False,2,,0
case_0030,CLEAR_SOFT,insufficient_funds,1,66.78,809,medium,0.6478872946110017,afternoon,sat,low_risk,card,942.46,0.9594638560346024,False,0,,0
case_0032,AMBIGUOUS,05_do_not_honor,2,39.99,1451,high,0.4892608458845053,evening,fri,medium_risk,upi_autopay,675.9,0.7535113837668052,True,1,peak_window_risk,1
case_0033,CLEAR_HARD,lost_card,4,48.76,45,high,1.0,morning,sun,medium_risk,card,910.24,0.9275347589839399,False,1,hard_decline,0
case_0035,CLEAR_SOFT,insufficient_funds,2,30.27,1726,medium,0.8217774055931149,morning,thu,medium_risk,upi_autopay,1756.2,1.0242276049585086,False,0,,1
case_0036,CLEAR_SOFT,51_insufficient_funds,4,57.02,1423,medium,0.7839708127657524,morning,wed,medium_risk,card,849.91,1.0568089142507107,True,0,,1
case_0037,AMBIGUOUS,05_do_not_honor,1,4.72,816,low,0.44264075731541047,afternoon,tue,low_risk,card,960.14,1.1417642923663196,True,0,,0
case_0041,CLEAR_HARD,lost_card,1,9.07,242,low,0.5575216763281947,evening,fri,low_risk,emandate,1273.18,0.9995810239431463,False,0,hard_decline,0
case_0042,CLEAR_SOFT,insufficient_funds,1,47.78,1503,medium,0.6454693221245766,afternoon,thu,medium_risk,upi_autopay,2374.16,1.2353840902486999,False,0,,1
case_0043,CLEAR_SOFT,51_insufficient_funds,2,37.46,724,high,0.36013498299210145,morning,fri,high_risk,card,1327.32,0.6385097847499303,False,0,,0
case_0044,AMBIGUOUS,generic_decline,1,52.64,1432,low,0.6458339460465462,afternoon,sat,low_risk,upi_autopay,3439.34,1.0955113762716717,False,0,,0
case_0045,CLEAR_SOFT,51_insufficient_funds,1,29.46,1077,medium,0.6111391850912529,morning,fri,low_risk,upi_autopay,1635.89,0.7118407708593634,False,0,,1
case_0046,AMBIGUOUS,05_do_not_honor,1,37.58,842,low,0.23917347043799875,morning,tue,low_risk,card,1030.65,1.0051218515388611,False,0,,0
case_0047,AMBIGUOUS,05_do_not_honor,5,21.92,957,high,0.3969367320780002,early_morning,sat,medium_risk,card,653.67,1.0285705149781956,False,0,,0
